latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-24.6668,44.29841,338.23,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.85,2.88,D
-24.19248,46.9745,337.69,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.03,2.76,D
-24.21203,46.86931,338.62,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,313.29,5.69,D
-24.18406,46.99842,338.96,0.52,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.93,10.73,D
-24.65934,44.30107,341.75,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.3,215.96,D
-24.23575,46.59123,339.44,0.49,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.77,5.08,D
-24.10106,47.07231,330.94,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,296.52,2.55,D
-24.03728,47.28494,340.96,0.54,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,296.86,5.42,D
-24.03037,47.30017,334.16,0.54,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.61,6.29,D
-24.03239,47.28944,336.31,0.54,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.19,13.74,D
-24.03339,47.2841,347.42,0.54,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.25,25.87,D
-24.11726,46.77153,367,0.51,0.41,2025-11-01,1053,N,VIIRS,h,2.0NRT,309.91,16,D
-24.46704,44.45065,340.41,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,308.68,7.3,D
-24.02988,46.93442,335.74,0.52,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,307.16,4.3,D
-23.99886,46.74002,336.99,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.52,3.81,D
-24.13095,46.01807,347.12,0.47,0.39,2025-11-01,1053,N,VIIRS,n,2.0NRT,313.47,14.41,D
-24.12825,46.01465,341.34,0.47,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,314.09,17.34,D
-23.98624,46.66236,337.44,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,304.73,6.02,D
-24.10279,46.0094,338.69,0.47,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.48,7.39,D
-24.43511,43.87587,333.64,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,305.31,1.39,D
-23.94271,46.7084,338.46,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,309.7,16.66,D
-23.87391,46.95279,334.45,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.53,4.18,D
-23.8607,46.93848,335.18,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.89,6.28,D
-23.85907,46.93994,334.23,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,300.1,4.24,D
-23.86043,46.73658,335.56,0.51,0.41,2025-11-01,1053,N,VIIRS,l,2.0NRT,305.8,2.06,D
